Source,Target
adorable,lovely
adored,idolised
adored,idolized
adorned,decorated
adpressed,appressed
adrenal,adrenal gland
adrenal,suprarenal gland
adrenergic,sympathomimetic
adrenergic,adrenergic drug
adrenocorticotrophic,adrenocorticotropic
adrift,afloat
adrift,aimless
adrift,directionless
adrift,planless
adrift,rudderless
adrift,undirected
adsorbent,adsorptive
adsorbent,surface-assimilative
adsorbent,adsorbent material
adsorptive,surface-assimilative
adult,big
adult,bigger
adult,full-grown
adult,fully grown
adult,grown
adult,grownup
adult,pornographic
adulterate,debased
adulterate,dilute
adulterate,loaded
adulterate,stretch
adumbrative,foreshadowing
adumbrative,prefigurative
adust,baked
adust,parched
adust,scorched
adust,sunbaked
advance,beforehand
advance,elevated
advance,encouraged
advance,in advance
advance,raised
advance,supercharged
advance,winning
advance,won
advance,boost
advance,cash advance
advance,feeler
advance,forward motion
advance,gain
advance,improvement
advance,onward motion
advance,overture
advance,progress
advance,upgrade
advance,bring forward
advance,come along
advance,come on
advance,gain ground
advance,get ahead
advance,get along
advance,get on
advance,go on
advance,kick upstairs
advance,make headway
advance,march on
advance,move on
advance,pass on
advance,promote
advance,pull ahead
advance,set ahead
advance,shape up
advance,throw out
adventuresome,adventurous
advertent,heedful
advised,well-advised
advisory,consultative
advisory,consultatory
adynamic,asthenic
adynamic,debilitated
adynamic,enervated
adynamic,undynamic
aeolotropic,eolotropic
aeonian,ageless
aeonian,eonian
aeonian,eternal
aeonian,everlasting
aeonian,perpetual
aeonian,unceasing
aeonian,unending
aerated,charged
aerial,aeriform
aerial,aery
aerial,airy
aerial,ethereal
aerial,antenna
aerial,forward pass
aerial,transmitting aerial
aeriform,aery
aeriform,airlike
aeriform,airy
aeriform,ethereal
aerobic,aerophilic
aerodynamic,flowing
aerodynamic,sleek
aerodynamic,streamlined
aerosolised,aerosolized
aery,airy
aery,ethereal
aery,eyrie
aesculapian,medical
aesthetic,artistic
aesthetic,esthetic
aestival,estival
aetiologic,etiologic
afeard,afeared
affable,amiable
affable,cordial
affable,genial
affected,moved
affected,stirred
affected,touched
affected,unnatural
affecting,poignant
affectionate,fond
affectionate,lovesome
affectionate,tender
affectionate,warm
affectionate,warmer
afferent,afferent nerve
afferent,sensory nerve
affiliated,attached
affiliated,connected
affirmable,assertable
affirmative,affirmatory
affirmative,approbative
affirmative,approbatory
affirmative,optimistic
affirmative,plausive
affixal,affixial
afflicted,impaired
afflicted,stricken
affluent,confluent
affluent,flush
affluent,loaded
affluent,moneyed
affluent,tributary
affluent,wealthy
affluent,feeder
affordable,low-cost
affordable,low-priced
afghan,sheepskin coat
afire,aflame
afire,aflare
afire,alight
afire,on fire
aflame,aflare
aflame,alight
aflame,aroused
aflame,on fire
aflare,alight
aflare,flaring
aflare,on fire
aflicker,flickering
afloat,aimless
afloat,awash
afloat,directionless
afloat,flooded
afloat,inundated
afloat,overflowing
afloat,planless
afloat,rudderless
afloat,undirected
aflutter,nervous
afoot,underway
aforementioned,aforesaid
aforementioned,said
aforesaid,said
aforethought,planned
aforethought,plotted
afoul,foul
aft,abaft
aft,astern
agamic,agamogenetic
agamic,apomictic
agamic,parthenogenetic
agamogenetic,apomictic
agamogenetic,parthenogenetic
agape,gaping
agape,agape love
agape,love feast
agaze,staring
aged,cured
aged,elderly
aged,of age
aged,older
aged,ripened
aged,senior
ageless,eonian
ageless,eternal
ageless,everlasting
ageless,perpetual
ageless,unceasing
ageless,unending
agglomerate,agglomerated
agglomerate,agglomerative
agglomerate,clustered
agglomerate,heaps
agglomerate,cumulation
agglomerate,cumulus
agglomerate,mound
agglomerate,pile
agglomerated,agglomerative
agglomerated,clustered
agglomerative,clustered
aggravated,provoked
aggregate,combined
aggregate,mass
aggregate,total
aggregate,congeries
aggregate,sum
aggressive,belligerent
aggressive,fast-growing
aggressive,strong-growing
aghast,appalled
aghast,dismayed
aghast,shocked
agile,nimble
agile,quick
agile,spry
agile,quicker
agile,quickest
agleam,gleaming
agleam,nitid
aglitter,coruscant
aglitter,fulgid
aglitter,glinting
aglitter,glistering
aglitter,glittering
aglitter,glittery
aglitter,scintillant
aglitter,sparkly
aglow,lambent
aglow,lucent
aglow,luminous
agnate,paternal
agnate,patrikin
agnate,patrilineal kin
agnate,patrilineal sib
agnate,patrisib
agnostic,doubter
ago,agone
agonistic,combative
agonistic,strained
agonized,agonised
agrarian,agricultural
agrarian,farming
agreeable,concordant
agreeable,conformable
agreeable,consonant
agreed,in agreement
agreed upon,stipulatory
agrestic,rustic
agricultural,farming
ahead,beforehand
ahead,forward
ahead,in advance
ahead,in the lead
ahead,leading
ahead,in front
ahead,onward
ahead,out front
ahorse,ahorseback
ahorse,horseback
ahorseback,horseback
aided,assisted
ailing,indisposed
ailing,peaked
ailing,poorly
ailing,seedy
ailing,sickly
ailing,under the weather
ailing,unwell
aimless,directionless
aimless,drifting
aimless,floating
aimless,planless
aimless,rudderless
aimless,undirected
aimless,vagabond
aimless,vagrant
air-tight,airtight
air-tight,gas-tight
air-to-ground,air-to-surface
air sick,airsick
air sick,carsick
air sick,seasick
aired,airy
airheaded,dizzy
airheaded,empty-headed
airheaded,featherbrained
airheaded,giddy
airheaded,light-headed
airheaded,lightheaded
airheaded,silly
airless,close
airless,stuffy
airless,unaired
airless,closer
airless,closest
airsick,carsick
airsick,seasick
airtight,gas-tight
airy,ethereal
airy,impractical
airy,laputan
airy,visionary
airy,windy
akin,blood-related
akin,cognate
akin,consanguine
akin,kin
akin,kindred
alabaster,alabastrine
alabaster,mexican onyx
alabaster,onyx marble
alabaster,oriental alabaster
alar,alary
alar,aliform
alar,axillary
alar,wing-shaped
alary,aliform
alary,wing-shaped
albinal,albinistic
albinal,albinotic
albinistic,albinotic
alcalescent,alkalescent
alcohol-dependent,alcoholic
alcoholic,lush
alcoholic,alky
alcoholic,boozer
alcoholic,dipsomaniac
alcoholic,soaker
alcoholic,souse
aldermanic,aldermanly
alert,alarmed
alert,alive
alert,awake
alert,brisk
alert,merry
alert,snappy
alert,spanking
alert,watchful
alert,zippy
alert,alarm
alert,alarum
alert,qui vive
alert,warning signal
alexic,word-blind
alfresco,open-air
alfresco,outside
alfresco,out of doors
alfresco,outdoors
alien,disaffected
alien,estranged
alien,exotic
alien,extraterrestrial
alien,foreign
alien,unknown
alien,extraterrestrial being
alien,foreigner
alien,noncitizen
alien,outlander
alien,stranger
aliform,wing-shaped
alight,light
alight,lit
alight,on fire
alight,perch
alight,climb down
aligning,positioning
alike,similar
alike,likewise
alimental,alimentary
alimental,nourishing
alimental,nutrient
alimental,nutritious
alimental,nutritive
alimentary,nourishing
alimentary,nutrient
alimentary,nutritious
alimentary,nutritive
aliquot,aliquot part
alive,awake
alive,live
alkalic,alkaline
all-around,all-round
all-around,well-rounded
all-embracing,all-encompassing
all-embracing,all-inclusive
all-embracing,blanket
all-embracing,broad
all-embracing,encompassing
all-embracing,extensive
all-embracing,panoptic
all-embracing,wide
all-encompassing,all-inclusive
all-encompassing,blanket
all-encompassing,broad
all-encompassing,encompassing
all-encompassing,extensive
all-encompassing,panoptic
all-encompassing,wide
all-fired,bloody
all-fired,damn
all-important,all important
all-important,crucial
all-important,essential
all-important,of the essence
all-inclusive,blanket
all-inclusive,broad
all-inclusive,encompassing
all-inclusive,extensive
all-inclusive,panoptic
all-inclusive,wide
all-knowing,omniscient
all-night,nightlong
all-night,overnight
all-or-none,all-or-nothing
all-out,full-scale
all-powerful,almighty
all-powerful,omnipotent
all-purpose,general-purpose
all-round,well-rounded
all important,crucial
all important,essential
all important,of the essence
all in,beat
all in,dead
all over,complete
all over,concluded
all over,ended
all over,everyplace
all over,everywhere
all right,alright
all right,fine
all right,finer
all right,hunky-dory
all right,o.k.
all right,ok
all right,okay
all right,very well
allantoid,sausage-shaped
alleged,so-called
allelic,allelomorphic
allergic,hypersensitised
allergic,hypersensitive
allergic,sensitised
allergic,supersensitised
allergic,supersensitive
alleviated,eased
alleviated,relieved
alleviatory,lenitive
alleviatory,mitigative
alleviatory,mitigatory
alleviatory,palliative
allied,confederate
allied,confederative
allocable,allocatable
allocable,apportionable
allocatable,apportionable
allowable,permissible
alluring,enticing
alluring,tempting
almighty,omnipotent
almond-shaped,amygdaliform
almond-shaped,amygdaloid
alone,lone
alone,solitary
alone,solo
alone,unaccompanied
alone,unequaled
alone,unequalled
alone,unique
alone,unparalleled
alone,entirely
alone,exclusively
alone,solely
aloof,distant
aloof,upstage
alpestrine,subalpine
alphabetised,alphabetized
alphameric,alphanumeric
alright,fine
alright,o.k.
alright,ok
alright,okay
alright,very well
alsatian,german police dog
alsatian,german shepherd
alsatian,german shepherd dog
alterative,curative
alterative,remedial
alterative,sanative
alterative,therapeutic
altered,adapted
alternate,flip
alternate,surrogate
alternate,flip-flop
alternate,interchange
alternate,jump
alternate,switch
alternate,tack
alternate,understudy
alternate,take turns
alto,contralto
alto,countertenor
altruistic,selfless
alveolar,dental
alveolar,alveolar consonant
alveolar,dental consonant
alveolate,cavitied
alveolate,faveolate
alveolate,honeycombed
alveolate,pitted
amalgamate,coalesced
amalgamate,consolidated
amalgamate,fused
amalgamate,mixed
amalgamate,unified
amalgamate,mingling
amalgamate,commix
amaranthine,unfading
amateur,amateurish
amateur,inexpert
amateur,recreational
amateur,unpaid
amateur,unskilled
amateurish,inexpert
amateurish,unskilled
amative,amorous
amatory,amorous
amatory,romantic
amazed,astonied
amazed,astonished
amazed,astounded
amazed,stunned
ambagious,circumlocutious
ambagious,circumlocutory
ambagious,periphrastic
amber,brownish-yellow
amber,gold
amber,yellow-brown
ambidextrous,deceitful
ambidextrous,double-dealing
ambidextrous,double-faced
ambidextrous,double-tongued
ambidextrous,duplicitous
ambidextrous,janus-faced
ambidextrous,two-faced
ambidextrous,two-handed
ambiguous,equivocal
ambitionless,unambitious
ambitious,challenging
ambrosial,ambrosian
ambrosial,nectarous
ambrosian,nectarous
ambulant,ambulatory
ameban,amebic
ameban,amoeban
ameban,amoebic
amebic,amoeban
amebic,amoebic
ameboid,amoeboid
ameliorating,amelioratory
ameliorating,meliorative
amelioratory,meliorative
amenable,conformable
amenable,tractable
amenorrheal,amenorrhoeal
amentaceous,amentiferous
amiable,cordial
amiable,genial
amiable,good-humored
amiable,good-humoured
amidship,midships
aminic,amino
amino,amino group
amiss,awry
amiss,haywire
amiss,wrong
amiss,imperfectly
ammoniac,gum ammoniac
amnesiac,amnesic
amnesic,amnestic
amnic,amnionic
amnic,amniotic
amnionic,amniotic
amoeban,amoebic
amok,amuck
amok,berserk
amok,demoniac
amok,possessed
amok,murderously
amorous,romantic
amorphous,formless
amorphous,shapeless
amorphous,uncrystallised
amorphous,uncrystallized
amorphous,unstructured
amphibian,amphibious
amphibian,amphibious aircraft
amphibian,amphibious vehicle
amphibiotic,semiaquatic
amphiprostylar,amphiprostyle
amphiprostylar,amphistylar
amphiprostylar,porticoed
amphiprostyle,amphistylar
amphiprostyle,porticoed
amphiprotic,amphoteric
amphistylar,porticoed
ample,copious
ample,plenteous
ample,plentiful
ample,rich
ample,sizable
ample,sizeable
ampullar,ampullary
amuck,berserk
amuck,demoniac
amuck,possessed
amuck,murderously
amused,diverted
amused,entertained
amygdaliform,amygdaloid
amylaceous,amyloid
amylaceous,farinaceous
amylaceous,starchlike
amyloid,farinaceous
amyloid,starchlike
anachronic,anachronistic
anaemic,anemic
anaerobic,anaerobiotic
anaesthetic,anesthetic
anaesthetic,anaesthetic agent
anaesthetic,anesthetic agent
anaglyphic,anaglyptic
anal,anal retentive
analgesic,analgetic
analgesic,anodyne
analgesic,pain pill
analgesic,painkiller
analgetic,anodyne
analog,analogue
analog,linear
analog,parallel
analogous,correspondent
analogue,linear
analogue,parallel
analphabetic,unlettered
analytic,uninflected
analyzable,decomposable
anapaestic,anapestic
anarchic,lawless
anastigmatic,stigmatic
anatomical,anatomic
anatomical,anatomical reference
anatropous,inverted
ancestral,hereditary
ancestral,patrimonial
ancestral,transmissible
anchoritic,eremitic
anchoritic,hermitic
ancient,antediluvian
ancillary,appurtenant
ancillary,auxiliary
androgenetic,androgenous
ane,1
ane,one
aneroid,aneroid barometer
anesthetic,anaesthetic agent
anesthetic,anesthetic agent
anestric,anoestrous
aneurismal,aneurismatic
aneurismal,aneurysmal
aneurismal,aneurysmatic
aneurismatic,aneurysmal
aneurismatic,aneurysmatic
aneurysmal,aneurysmatic
angelic,beatific
angelic,cherubic
angelic,sainted
angelic,saintlike
angelic,saintly
angelic,seraphic
angelic,sweet
angered,enraged
angered,furious
angered,infuriated
angered,maddened
anginal,anginose
angry,furious
angry,raging
angry,tempestuous
angry,wild
angry,wilder
anguished,tormented
anguished,tortured
angular,angulate
animal,brute
animal,carnal
animal,fleshly
animal,sensual
animal,animate being
animal,beast
animal,creature
animal,fauna
animate,enlivened
animate,exalted
animate,inspired
animate,invigorated
animate,reanimated
animate,revived
animate,sentient
animate,quickening
animate,repair
animate,animise
animate,liven
animate,liven up
animate,recreate
animate,renovate
animate,revivify
animate,vivify
anionic,anionic detergent
anionic,non-ionic detergent
ankle-deep,knee-deep
annelid,annelidan
annelid,annelid worm
annelid,segmented worm
annihilated,wiped out
announced,proclaimed
annoyed,harassed
annoyed,harried
annoyed,miffed
annoyed,nettled
annoyed,peeved
annoyed,pestered
annoyed,pissed
annoyed,pissed off
annoyed,riled
annoyed,roiled
annoyed,steamed
annoyed,stung
annoyed,vexed
annoying,bothersome
annoying,nettlesome
annoying,pesky
annoying,pestiferous
annoying,plaguey
annoying,plaguy
annoying,vexatious
annoying,vexation
annual,one-year
annual,yearly
annual,yearbook
annular,annulate
annular,circinate
annular,doughnut-shaped
annular,ring-shaped
annular,ringed
annulate,circinate
annulate,doughnut-shaped
annulate,ring-shaped
annulate,ringed
anodyne,pain pill
anodyne,painkiller
anomic,disoriented
anon.,anonymous
anorectic,anorexic
anorectic,anorexigenic
anorthic,triclinic
anosmatic,anosmic
another,some other
anserine,dopey
anserine,dopy
anserine,foolish
anserine,gooselike
anserine,goosey
anserine,goosy
anserine,jerky
answering,respondent
antacid,alkaliser
antacid,alkalizer
antacid,antiacid
antacid,gastric antacid
antagonistic,antipathetic
antagonistic,counter
antagonistic,incompatible
antecedent,ascendant
antecedent,ancestor
antecedent,forerunner
antecedent,root
antediluvial,antediluvian
antediluvian,antiquated
antediluvian,archaic
antediluvian,antediluvian patriarch
antenatal,antepartum
antenatal,prenatal
antennal,antennary
antenuptial,premarital
antenuptial,prenuptial
antepartum,prenatal
antepenultimate,antepenult
antepenultimate,antepenultima
anterior,prior
anterior,front tooth
anthelminthic,anthelmintic
anthelminthic,helminthic
anthelminthic,parasiticidal
anthelminthic,vermifuge
anthelmintic,helminthic
anthelmintic,parasiticidal
anthelmintic,vermifuge
antheral,staminate
anthophagous,anthophilous
anthropogenetic,anthropogenic
anthropoid,apelike
anthropoid,manlike
anthropoid,ape
anthropomorphic,humanlike
anti-intellectual,lowbrow
anti-intellectual,philistine
anti-semitic,antisemitic
antiaircraft,ack-ack
antiaircraft,ack-ack gun
antiaircraft,antiaircraft gun
antiaircraft,flack
antiaircraft,flak
antiaircraft,pom-pom
antibacterial,antibacterial drug
antibacterial,bactericide
antibiotic,antibiotic drug
antiblack,anti-semite
antiblack,racist
antic,fantastic
antic,grotesque
antic,caper
antic,clown
antic,joke
antic,prank
antic,put-on
antic,trick
antic,clown around
anticancer,antineoplastic
anticancer,antitumor
anticancer,antitumour
anticholinergic,anticholinergic drug
anticipant,expectant
anticipated,awaited
anticipated,hoped-for
anticipatory,prevenient
anticlockwise,contraclockwise
anticlockwise,counterclockwise
antifertility,contraceptive
antifertility,prophylactic
antifungal,fungicidal
antifungal,antifungal agent
antifungal,antimycotic
antifungal,antimycotic agent
antifungal,fungicide
antimicrobial,antimicrobic
antimicrobial,disinfectant
antimicrobial,germicide
antimicrobic,disinfectant
antimicrobic,germicide
antimonic,antimonious
antimonopoly,antitrust
antineoplastic,antitumor
antineoplastic,antitumour
antineoplastic,antineoplastic drug
antineoplastic,cancer drug
antipathetic,averse
antipathetic,indisposed
antipathetic,loath
antipathetic,loth
antiphonal,antiphonary
antiphonal,responsive
antipodal,antipodean
antipodal,antipodal opposition
antipodal,diametrical opposition
antipyretic,febrifuge
antiquarian,antiquary
antiquarian,archaist
antiquated,archaic
antique,age-old
antique,antiquated
antique,demode
antique,ex
antique,old-fashioned
antique,old-hat
antique,outmoded
antique,passe
antique,passee
antique,gaffer
antique,old-timer
antique,old geezer
antique,oldtimer
antisatellite,asat
antisocial,asocial
antitumor,antitumour
antiviral,antiviral agent
antiviral,antiviral drug
antsy,fidgety
antsy,fretful
antsy,itchy
anuran,batrachian
anuran,salientian
anuran,frog
anuran,toad
anuran,toad frog
anuretic,anuric
anurous,tailless
anxiolytic,antianxiety drug
anxiolytic,anxiolytic drug
anxiolytic,minor tranquilizer
anxiolytic,minor tranquilliser
anxious,dying
anxious,nervous
anxious,queasy
anxious,uneasy
anxious,unquiet
aortal,aortic
apart,asunder
apart,isolated
apart,obscure
apart,aside
apathetic,indifferent
apelike,apish
aperient,cathartic
aperient,purgative
aperient,physic
aperiodic,nonperiodic
apetalous,petalless
aphaeretic,apheretic
aphonic,voiceless
aphoristic,apothegmatic
aphoristic,axiomatic
aphoristic,epigrammatic
aphrodisiac,sexy
apneic,apnoeic
apocalyptic,revelatory
apodeictic,apodictic
apogametic,apogamic
apolitical,unpolitical
apologetic,excusatory
apomictic,parthenogenetic
apoplectiform,apoplectoid
apostate,recreant
apostate,renegade
apostate,deserter
apostate,ratter
apostate,turncoat
apostolic,papal
apostolic,pontifical
apothegmatic,epigrammatic
appalled,dismayed
appalled,shocked
appareled,attired
appareled,garbed
appareled,garmented
appareled,habilimented
appareled,robed
apparent,evident
apparent,manifest
apparent,ostensible
apparent,patent
apparent,plain
apparent,seeming
apparent,unmistakable
apparitional,ghostlike
apparitional,ghostly
apparitional,phantasmal
apparitional,spectral
apparitional,spiritual
appealing,likable
appealing,likeable
appealing,sympathetic
appeasable,conciliable
appeasing,placating
appeasing,placative
appeasing,placatory
appellant,plaintiff in error
appellative,naming
appellative,denomination
appetising,appetizing
applaudable,commendable
applaudable,laudable
applaudable,praiseworthy
applicative,applicatory
appointed,decreed
appointed,ordained
appointed,prescribed
apportioned,dealt out
apportioned,doled out
apportioned,meted out
apportioned,parceled out
apposable,opposable
apposite,apt
apposite,pertinent
